Alpha,Re,D1,D2,D3,Cd,Cl
-10,1000000,0,0,10,0.01840994,-1.053524
-9,1000000,0,0,10,0.01421,-0.9760128
-8,1000000,0,0,10,0.01300172,-0.8782619
-7,1000000,0,0,10,0.01115754,-0.787978
-6,1000000,0,0,10,0.009997573,-0.6955409
-5,1000000,0,0,10,0.008908685,-0.5974049
-4,1000000,0,0,10,0.007610315,-0.458765
-3,1000000,0,0,10,0.006319519,-0.3233536
-2,1000000,0,0,10,0.005389571,-0.2090076
-1,1000000,0,0,10,0.00483121,-0.1045272
0,1000000,0,0,10,0.004640988,1.79E-09
1,1000000,0,0,10,0.004831203,0.1045286
2,1000000,0,0,10,0.005389529,0.2090102
3,1000000,0,0,10,0.006319298,0.3233482
4,1000000,0,0,10,0.007609892,0.4587651
5,1000000,0,0,10,0.008908091,0.5974368
6,1000000,0,0,10,0.009996662,0.6954367
7,1000000,0,0,10,0.0111567,0.7879032
8,1000000,0,0,10,0.01300113,0.8782409
9,1000000,0,0,10,0.0142097,0.9760567
10,1000000,0,0,10,0.01841022,1.053669
11,1000000,0,0,10,0.02122518,1.138146
12,1000000,0,0,10,0.02480585,1.210904
13,1000000,0,0,10,0.02871392,1.266621
14,1000000,0,0,10,0.03330627,1.299659
15,1000000,0,0,10,0.049384,1.262468
16,1000000,0,0,10,0.0824333,1.170111
18,1000000,0,0,10,0.2245137,0.7852445
19,1000000,0,0,10,0.2401035,0.8128663
20,1000000,0,0,10,0.2548252,0.8440897
-10,2000000,0,0,10,0.01293075,-1.090374
-9,2000000,0,0,10,0.01155357,-0.992171
-8,2000000,0,0,10,0.01029756,-0.8963188
-7,2000000,0,0,10,0.009419933,-0.8018118
-6,2000000,0,0,10,0.008419281,-0.6847373
-5,2000000,0,0,10,0.007457441,-0.5521006
-4,2000000,0,0,10,0.006541187,-0.429987
-3,2000000,0,0,10,0.005653133,-0.3231837
-2,2000000,0,0,10,0.005015149,-0.2174626
-1,2000000,0,0,10,0.00467677,-0.1092882
0,2000000,0,0,10,0.004605105,1.02E-11
1,2000000,0,0,10,0.00467676,0.1092897
2,2000000,0,0,10,0.005015143,0.2174689
3,2000000,0,0,10,0.005653182,0.3231965
4,2000000,0,0,10,0.006541123,0.4300001
5,2000000,0,0,10,0.007457209,0.5521081
6,2000000,0,0,10,0.008419013,0.6847772
7,2000000,0,0,10,0.009419149,0.8016942
8,2000000,0,0,10,0.01029679,0.8962473
9,2000000,0,0,10,0.01155313,0.9921725
10,2000000,0,0,10,0.0129307,1.090447
11,2000000,0,0,10,0.01478591,1.185371
12,2000000,0,0,10,0.01748384,1.271544
13,2000000,0,0,10,0.02169311,1.338428
14,2000000,0,0,10,0.0230888,1.425049
15,2000000,0,0,10,0.02517301,1.49366
16,2000000,0,0,10,0.02991548,1.522596
17,2000000,0,0,10,0.04130219,1.510587
18,2000000,0,0,10,0.06973199,1.421985
19,2000000,0,0,10,0.1387122,1.136064
-10,5000000,0,0,10,0.01066418,-1.105562
-8,5000000,0,0,10,0.008386561,-0.9027851
-7,5000000,0,0,10,0.007555796,-0.7779157
-6,5000000,0,0,10,0.006849601,-0.6586863
-5,5000000,0,0,10,0.006299933,-0.5516113
-4,5000000,0,0,10,0.005823036,-0.4432799
-3,5000000,0,0,10,0.005396947,-0.333437
-2,5000000,0,0,10,0.005071931,-0.2227217
-1,5000000,0,0,10,0.004834046,-0.1116609
0,5000000,0,0,10,0.004757998,3.03E-10
1,5000000,0,0,10,0.004834035,0.1116621
2,5000000,0,0,10,0.005071927,0.2227268
3,5000000,0,0,10,0.005396949,0.3334489
4,5000000,0,0,10,0.005823072,0.4433014
5,5000000,0,0,10,0.006299968,0.5516445
6,5000000,0,0,10,0.006849647,0.6587253
7,5000000,0,0,10,0.0075558,0.7779675
8,5000000,0,0,10,0.008386425,0.9028455
9,5000000,0,0,10,0.009576919,1.006696
10,5000000,0,0,10,0.01066398,1.1056
11,5000000,0,0,10,0.01175552,1.207165
12,5000000,0,0,10,0.01289874,1.307827
13,5000000,0,0,10,0.01413885,1.406202
14,5000000,0,0,10,0.01560735,1.500314
16,5000000,0,0,10,0.02329506,1.616737
17,5000000,0,0,10,0.02783781,1.641254
18,5000000,0,0,10,0.03941464,1.620411
19,5000000,0,0,10,0.06968459,1.512871
-10,10000000,0,0,10,0.008916018,-1.118448
-9,10000000,0,0,10,0.008123896,-1.008037
-8,10000000,0,0,10,0.007248252,-0.8886813
-7,10000000,0,0,10,0.006707258,-0.7802161
-6,10000000,0,0,10,0.006211222,-0.6720472
-5,10000000,0,0,10,0.00589336,-0.5613507
-4,10000000,0,0,10,0.005603989,-0.4495864
-3,10000000,0,0,10,0.005358673,-0.3375231
-2,10000000,0,0,10,0.005121959,-0.22518
-1,10000000,0,0,10,0.004926678,-0.1125932
0,10000000,0,0,10,0.004873502,-5.02E-10
1,10000000,0,0,10,0.004926667,0.1125943
2,10000000,0,0,10,0.005121946,0.2251843
3,10000000,0,0,10,0.005358648,0.3375329
4,10000000,0,0,10,0.005603973,0.4496042
5,10000000,0,0,10,0.005893372,0.5613787
6,10000000,0,0,10,0.006211297,0.6720887
7,10000000,0,0,10,0.006707346,0.7802722
8,10000000,0,0,10,0.007248308,0.8887411
9,10000000,0,0,10,0.008123912,1.008111
10,10000000,0,0,10,0.008915649,1.118419
11,10000000,0,0,10,0.009773962,1.221676
12,10000000,0,0,10,0.01074981,1.324811
13,10000000,0,0,10,0.01195681,1.425
14,10000000,0,0,10,0.01367451,1.518932
15,10000000,0,0,10,0.01528686,1.610781
16,10000000,0,0,10,0.01710097,1.696551
17,10000000,0,0,10,0.01930631,1.77169
18,10000000,0,0,10,0.02205661,1.819469
19,10000000,0,0,10,0.02652131,1.845435
20,10000000,0,0,10,0.03459294,1.851905
-10,1000000,0,0,12,0.01504393,-1.080211
-9,1000000,0,0,12,0.01343744,-0.9946407
-8,1000000,0,0,12,0.01214183,-0.9099188
-7,1000000,0,0,12,0.01093785,-0.8269496
-6,1000000,0,0,12,0.009720631,-0.6940459
-5,1000000,0,0,12,0.008472837,-0.5577394
-4,1000000,0,0,12,0.007279526,-0.4277333
-3,1000000,0,0,12,0.006403928,-0.3199945
-2,1000000,0,0,12,0.005804601,-0.2144671
-1,1000000,0,0,12,0.005486409,-0.107441
0,1000000,0,0,12,0.005403112,-1.13E-10
1,1000000,0,0,12,0.005486403,0.1074429
2,1000000,0,0,12,0.005804603,0.2144741
4,1000000,0,0,12,0.007279378,0.4277474
5,1000000,0,0,12,0.008472472,0.5577641
6,1000000,0,0,12,0.009719936,0.6940975
7,1000000,0,0,12,0.01093619,0.8268065
8,1000000,0,0,12,0.01214055,0.9098028
9,1000000,0,0,12,0.01343631,0.9945874
10,1000000,0,0,12,0.01504327,1.080268
11,1000000,0,0,12,0.01707853,1.164895
12,1000000,0,0,12,0.01924915,1.246472
13,1000000,0,0,12,0.02217156,1.312158
14,1000000,0,0,12,0.0255925,1.357179
15,1000000,0,0,12,0.03257402,1.370426
16,1000000,0,0,12,0.04268791,1.378914
17,1000000,0,0,12,0.06007375,1.351649
18,1000000,0,0,12,0.08603607,1.279961
19,1000000,0,0,12,0.1170556,1.191017
20,1000000,0,0,12,0.1486923,1.113125
-10,2000000,0,0,12,0.01235932,-1.105454
-9,2000000,0,0,12,0.01122463,-1.018598
-8,2000000,0,0,12,0.01017344,-0.9146769
-7,2000000,0,0,12,0.009119505,-0.7831139
-6,2000000,0,0,12,0.008133951,-0.6555597
-5,2000000,0,0,12,0.007241294,-0.5418401
-4,2000000,0,0,12,0.006450319,-0.4368766
-3,2000000,0,0,12,0.005824593,-0.3297815
-2,2000000,0,0,12,0.005421438,-0.2210096
-1,2000000,0,0,12,0.005208769,-0.1108555
0,2000000,0,0,12,0.005158167,-1.38E-09
1,2000000,0,0,12,0.005208761,0.1108571
2,2000000,0,0,12,0.005421432,0.2210164
3,2000000,0,0,12,0.005824609,0.3297972
4,2000000,0,0,12,0.006450412,0.4369031
5,2000000,0,0,12,0.00724131,0.5418747
6,2000000,0,0,12,0.008133847,0.6555973
7,2000000,0,0,12,0.009119192,0.7831799
8,2000000,0,0,12,0.010173,0.9147529
9,2000000,0,0,12,0.01122328,1.018468
10,2000000,0,0,12,0.01235828,1.105407
11,2000000,0,0,12,0.01371734,1.195902
12,2000000,0,0,12,0.01549186,1.284864
13,2000000,0,0,12,0.01712168,1.373381
14,2000000,0,0,12,0.01970026,1.445695
15,2000000,0,0,12,0.02213371,1.504316
16,2000000,0,0,12,0.02595363,1.545842
17,2000000,0,0,12,0.03291973,1.563954
